DBMS-duration;JavaSystem-Duration;DBMS-cpuDurationUser;JavaCPU-Duration
3.0;-490328921885024;0.0;0
3.0;-490328932460276;0.0;0
3.0;-490328943126668;0.0;0
3.0;-490328953554121;0.0;15625000
3.0;-490328963743870;0.0;0
3.0;-490328974028043;15.0;0
3.0;-490328984243246;0.0;0
3.0;-490328994415341;0.0;0
3.0;-490329004451956;0.0;0
3.0;-490329014574375;0.0;0
3.0;-490329024648349;0.0;0
3.0;-490329034856162;0.0;15625000
3.0;-490329044960516;0.0;0
3.0;-490329058434632;0.0;0
3.0;-490329070614296;0.0;0
3.0;-490329080972778;0.0;0
3.0;-490329091284049;0.0;0
3.0;-490329101507462;0.0;0
3.0;-490329111833922;0.0;15625000
3.0;-490329122478966;0.0;0
3.0;-490329133380190;0.0;0
3.0;-490329143973506;0.0;15625000
3.0;-490329154525766;0.0;0
3.0;-490329164463028;0.0;0
3.0;-490329174749666;0.0;15625000
3.0;-490329185553180;0.0;0
3.0;-490329195664104;0.0;0
3.0;-490329205884643;0.0;15625000
3.0;-490329216222598;0.0;0
3.0;-490329228469592;0.0;0
3.0;-490329238787431;15.0;0
3.0;-490329249167262;0.0;0
3.0;-490329259578295;0.0;0
3.0;-490329269932672;16.0;0
3.0;-490329280128579;0.0;0
3.0;-490329290692334;0.0;0
3.0;-490329300777394;0.0;0
3.0;-490329310969606;0.0;15625000
3.0;-490329323125868;0.0;0
3.0;-490329333989323;15.0;0
3.0;-490329344573605;0.0;0
3.0;-490329355007629;0.0;0
3.0;-490329365272507;0.0;0
3.0;-490329375831336;0.0;0
3.0;-490329386316677;0.0;0
3.0;-490329396487130;16.0;0
3.0;-490329406892004;0.0;0
3.0;-490329417975921;0.0;0
3.0;-490329428628766;16.0;0
3.0;-490329438804556;0.0;0
